BOS 那个如和添佳银行卡呀 EOS\	O O O O O B-action I-action I-action I-action I-action O bussiness_process
BOS 怎么解绑第三方存管 EOS\	O O O O O O O O O O bussiness_process
BOS 怎么解绑第三方存管 EOS\	O O O B-action I-action I-action I-action I-action I-action I-action bussiness_process
BOS 可是从证券转出的钱能转到现在的银行卡吗？ EOS\	O O O O O O O O O O O O O O O O O O O O O bussiness_process
BOS 已开通深A，如何开通沪A EOS\	O O O O O O O O O B-action I-action B-object I-object bussiness_process
BOS 我得身份证过期了！现在以更新了！这样就不用去营业厅了吗 EOS\	O O O O O O O O O O O O O B-action I-action O O O O O O O O O O O O O bussiness_process
BOS 我得身份证过期了！现在以更新了！这样就不用去营业厅了吗 EOS\	O O O O O O O O O O O O O B-action I-action O O O O O O O O O O O O O bussiness_process
BOS ？ EOS\	O O bussiness_process
BOS 你好。我为何还不能登入 EOS\	O O O O O O O O O O B-action I-action bussiness_process
BOS 我的账号不能登陆 EOS\	O O O B-subject I-subject O O B-action I-action bussiness_process
BOS 账户锁定 EOS\	O B-subject I-subject I-subject I-subject bussiness_process
BOS 你好 EOS\	O O O bussiness_process
BOS 您好，如何修改交易密码？ EOS\	O O O O O O B-action I-action B-subject I-subject I-subject I-subject O bussiness_process
BOS 我们身份证过期已换证，要怎么更新信息 EOS\	O O O O O O B-object I-object O O O O O O O B-subject I-subject I-subject I-subject bussiness_process
BOS 怎样修改资料？身份证到期 EOS\	O O O B-action I-action B-subject I-subject O B-trend I-trend I-trend I-trend I-trend bussiness_process
BOS 帐号锁定怎么办 EOS\	O B-subject I-subject B-action I-action O O O bussiness_process
BOS 五洲新春最近怎么操作 EOS\	O O O O O O O O O B-action I-action bussiness_process
BOS 手机版不让我登陆，显示锁定是怎么回事 EOS\	O B-channel I-channel I-channel O O O B-action I-action O O O B-action I-action O O O O O bussiness_process
BOS 在哪里你看看 EOS\	O O B-place I-place O O O bussiness_process
BOS 在哪里你看看 EOS\	O O B-place I-place O O O bussiness_process
BOS 在哪里你看看 EOS\	O O B-object I-object O O O bussiness_process
BOS 在哪里你看看 EOS\	O O B-object I-object O O O bussiness_process
BOS 怎么操作？ EOS\	O O O B-subject I-subject O bussiness_process
BOS 我登陆上去它说我级别错误 EOS\	O O O O O O O O O B-subject I-subject I-subject I-subject bussiness_process
BOS 你好，我的基金帐号留的手机号码不对，请问怎样更改号码？ EOS\	O O O O O O O O O O O O B-object I-object I-object I-object I-object I-object O O O O O B-action I-action O O O bussiness_process
BOS 更改个人资料 EOS\	O B-action I-action B-subject I-subject I-subject I-subject bussiness_process
BOS 你好 EOS\	O O O bussiness_process
BOS 你好，有账号为啥不能用手机登录 EOS\	O O O O O O O O O O O O O O B-action I-action bussiness_process
BOS 我手机下载了中泰，为什么不能登陆呢？ EOS\	O O O O O O O O O O O O O O O B-action I-action O O bussiness_process
BOS 老显示，不存在该用户信息。怎么回事？ EOS\	O O O O O B-action I-action I-action O B-subject I-subject I-subject I-subject O O O O O O bussiness_process
BOS 我刚学着用手机…无法登录呢 EOS\	O O O O O O O O O O O B-action I-action O bussiness_process
BOS 什么啊，怎么回事 EOS\	O O O O O O O O O bussiness_process
BOS 怎么卖出 到了价格 一直没有交易 怎么回事 EOS\	O O O O O O O O O O O O O O O O O O O O O O bussiness_process
BOS 密码忘记了怎么找回，已锁 EOS\	O B-subject I-subject B-action I-action O O O O O O O O bussiness_process
BOS 我的资金帐号忘了 EOS\	O O O O O O O O O bussiness_process
BOS 如何开通手机交易 EOS\	O O O B-action I-action B-subject I-subject I-subject I-subject bussiness_process
BOS 你好 资金账号输入三次错误被锁定了怎么办 EOS\	O O O O B-object I-object I-object I-object O O O O O O O B-action I-action O O O O bussiness_process
BOS 请问，帐户交易密码怎么修改？ EOS\	O O O O B-subject I-subject B-subject I-subject I-subject I-subject O O B-action I-action O bussiness_process
BOS 我手机不能交易 EOS\	O O B-channel I-channel O O B-action I-action bussiness_process
BOS 我账号锁定了要怎么办 EOS\	O O B-object I-object B-action I-action O O O O O bussiness_process
BOS 为什么资金不能转出呢 EOS\	O O O O B-subject I-subject O O B-action I-action O bussiness_process
BOS 怎么注销登录手机 EOS\	O O O B-action I-action O O B-object I-object bussiness_process
BOS 账户锁定了怎么办 EOS\	O B-subject I-subject B-action I-action O O O O bussiness_process
BOS 为什么用机登录不上。 EOS\	O O O O O O B-action I-action O O O bussiness_process
BOS 你好能帮我再开一个账户吗 EOS\	O O O O O O B-action I-action I-action I-action B-object I-object O bussiness_process
